,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
54,1228,2026-06-13,125147695412.83525,112936173657.34245,137359217168.32805
55,1229,2026-06-20,124542235363.13116,112187588442.19092,136896882284.07141
56,1230,2026-06-27,124446276917.11702,111947469352.66487,136945084481.56917
57,1231,2026-07-04,124622144917.28673,111989115310.32608,137255174524.24738
58,1232,2026-07-11,124091442428.25995,111321977774.99414,136860907081.52576
59,1233,2026-07-18,124157124952.29918,111255781366.67348,137058468537.92488
60,1234,2026-07-25,124164552979.88168,111130567101.77032,137198538857.99304
61,1235,2026-08-01,123542378982.25917,110379012421.84865,136705745542.6697
62,1236,2026-08-08,124027366513.74251,110734430884.79413,137320302142.69089
63,1237,2026-08-15,124578042774.29385,111157962781.29214,137998122767.29556
64,1238,2026-08-22,124954508188.6868,111407573416.99341,138501442960.3802
65,1239,2026-08-29,126044026597.18184,112372137123.92505,139715916070.43863
66,1240,2026-09-05,126186214302.86981,112389934253.82973,139982494351.9099
67,1241,2026-09-12,126837420435.86751,112918311870.6687,140756529001.0663
68,1242,2026-09-19,125373346891.33075,111332129362.96632,139414564419.69516
69,1243,2026-09-26,127346421461.12047,113184428657.2599,141508414264.98102
70,1244,2026-10-03,126272679667.60551,111990711123.19989,140554648212.01114
71,1245,2026-10-10,126283702244.40457,111882932874.31616,140684471614.49298
72,1246,2026-10-17,125982367943.75055,111463631196.44052,140501104691.06058
73,1247,2026-10-24,126452885018.22073,111817241338.42842,141088528698.01303
74,1248,2026-10-31,126417694695.51346,111665983864.20758,141169405526.81934
75,1249,2026-11-07,126136323698.1157,111269520394.14679,141003127002.08463
76,1250,2026-11-14,126110970654.40862,111129904833.00435,141092036475.8129
77,1251,2026-11-21,126084954314.3908,110990533793.50688,141179374835.2747
78,1252,2026-11-28,125379675218.18533,110172711002.40817,140586639433.9625
79,1253,2026-12-05,125259739917.27278,109941085673.63367,140578394160.9119
80,1254,2026-12-12,124665141550.76088,109235584504.05118,140094698597.47058
81,1255,2026-12-19,126012740725.3818,110473089155.85844,141552392294.90518
82,1256,2026-12-26,129108746579.39987,113459761703.26797,144757731455.53177
83,1257,2027-01-02,129280051343.32942,113522502281.59398,145037600405.06485
84,1258,2027-01-09,127185725866.00659,111320347149.97284,143051104582.04034
85,1259,2027-01-16,127848443310.24467,111875969479.14238,143820917141.347
86,1260,2027-01-23,129962873003.29958,113884012134.09138,146041733872.50775
87,1261,2027-01-30,129237466577.1345,113052922114.94064,145422011039.32837
88,1262,2027-02-06,130369828714.6294,114080283023.50378,146659374405.755
89,1263,2027-02-13,129955194578.68205,113561322763.49338,146349066393.87073
90,1264,2027-02-20,129512678300.63904,113015138023.56393,146010218577.71414
91,1265,2027-02-27,129452868516.37575,112852308789.9447,146053428242.8068
92,1266,2027-03-06,128951056249.48274,112248111169.0954,145654001329.8701
93,1267,2027-03-13,128903623419.44255,112098917794.48448,145708329044.40063
94,1268,2027-03-20,128704161738.99638,111798307270.84628,145610016207.14648
95,1269,2027-03-27,127918060517.76463,110911659439.4263,144924461596.10297
96,1270,2027-04-03,127297674896.63252,110191317675.82787,144404032117.4372
97,1271,2027-04-10,127639784782.37653,110434052504.02509,144845517060.72797
98,1272,2027-04-17,127373330544.56534,110068793562.90506,144677867526.22562
99,1273,2027-04-24,127879184372.54344,110476403897.56406,145281964847.52283
100,1274,2027-05-01,127445981822.65451,109945509160.79185,144946454484.51715
101,1275,2027-05-08,127085974964.87433,109488352599.2357,144683597330.51297
102,1276,2027-05-15,128317528411.6514,110623289605.85216,146011767217.45065
103,1277,2027-05-22,127922297377.28009,110131966931.88066,145712627822.6795
104,1278,2027-05-29,127967865589.15779,109944348966.92035,145991382211.39523
105,1279,2027-06-05,127587045686.84302,109418316550.24696,145755774823.43906
106,1280,2027-06-12,127607509837.98444,109309329836.73442,145905689839.23447
107,1281,2027-06-19,127141147738.44638,108713844051.80684,145568451425.0859
108,1282,2027-06-26,127067234517.79651,108510096910.05011,145624372125.5429
109,1283,2027-07-03,127202698923.74641,108521657505.1269,145883740342.3659
110,1284,2027-07-10,126793919350.83984,107987579076.0636,145600259625.6161
111,1285,2027-07-17,126844512125.8356,107915609186.48636,145773415065.18484
112,1286,2027-07-24,126850233579.66281,107798266209.4608,145902200949.86484
113,1287,2027-07-31,126370997222.57356,107197943565.5373,145544050879.60983
114,1288,2027-08-07,126744564196.00952,107450287295.79675,146038841096.2223
115,1289,2027-08-14,127168728716.39606,107754715046.9954,146582742385.7967
116,1290,2027-08-21,127458705343.05951,107925125274.13115,146992285411.98785
117,1291,2027-08-28,128297918981.51071,108645952310.73209,147949885652.28934
