,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
51,1225,2026-05-23,126086970796.74359,109652590701.26459,142521350892.2226
52,1226,2026-05-30,126141640780.18137,109409564557.24483,142873717003.11792
53,1227,2026-06-06,125565227608.4782,108630226857.07385,142500228359.88254
54,1228,2026-06-13,125720341295.66122,108597701184.50392,142842981406.81854
55,1229,2026-06-20,125054306264.71881,107739200574.08022,142369411955.3574
56,1230,2026-06-27,124730745106.39163,107218500180.85535,142242990031.92792
57,1231,2026-07-04,124954926810.42178,107244443804.08997,142665409816.7536
58,1232,2026-07-11,124261389308.20288,106359848127.8389,142162930488.56686
59,1233,2026-07-18,124467784990.75888,106377858522.76022,142557711458.75754
60,1234,2026-07-25,124446987669.7098,106169592865.25388,142724382474.1657
61,1235,2026-08-01,123698450934.01329,105234977901.04807,142161923966.97852
62,1236,2026-08-08,124304362647.23941,105656791098.95232,142951934195.52652
63,1237,2026-08-15,124999078397.58685,106169515942.89677,143828640852.27695
64,1238,2026-08-22,125555215814.51233,106545386894.94853,144565044734.0761
65,1239,2026-08-29,126843971562.12825,107655473704.22098,146032469420.03552
66,1240,2026-09-05,127184659041.70653,107819121922.08267,146550196161.33038
67,1241,2026-09-12,127796070250.73276,108255123887.97377,147337016613.49173
68,1242,2026-09-19,126259427072.44794,106544647902.94313,145974206241.95276
69,1243,2026-09-26,128576597062.81471,108689497702.64699,148463696422.98242
70,1244,2026-10-03,127147299563.2947,107089353632.9123,147205245493.6771
71,1245,2026-10-10,127123576869.32779,106896228024.2452,147350925714.4104
72,1246,2026-10-17,126772395703.59813,106377053415.48729,147167737991.70895
73,1247,2026-10-24,127379524089.31125,106817561285.27159,147941486893.35092
74,1248,2026-10-31,127289981046.76762,106562736294.7818,148017225798.75345
75,1249,2026-11-07,126861810963.03102,105970591517.14383,147753030408.9182
76,1250,2026-11-14,126848518151.44135,105794601258.82162,147902435044.06107
77,1251,2026-11-21,126860486144.19478,105645119637.72069,148075852650.66888
78,1252,2026-11-28,125976124646.67418,104600527892.1101,147351721401.23825
79,1253,2026-12-05,126036705155.11963,104502070258.97858,147571340051.26068
80,1254,2026-12-12,125094709499.97748,103402202408.81842,146787216591.13654
81,1255,2026-12-19,126892605761.9912,105043367177.33183,148741844346.65057
82,1256,2026-12-26,131121152843.90958,109116299078.95523,153126006608.86392
83,1257,2027-01-02,130895256275.46703,108735880111.83244,153054632439.10162
84,1258,2027-01-09,128527946394.56007,106215117911.9531,150840774877.16705
85,1259,2027-01-16,129428418789.1118,106963186144.39885,151893651433.82474
86,1260,2027-01-23,131819191083.59828,109202581245.0537,154435800922.14288
87,1261,2027-01-30,130967689547.7748,108200708997.12338,153734670098.4262
88,1262,2027-02-06,132679114925.89082,109762750331.4352,155595479520.34647
89,1263,2027-02-13,131893338628.75539,108828557488.10056,154958119769.41022
90,1264,2027-02-20,131330745657.16289,108118496910.03163,154542994404.29413
91,1265,2027-02-27,131238967672.9659,107880182286.60114,154597753059.33066
92,1266,2027-03-06,130679043129.57417,107174634658.91843,154183451600.22992
93,1267,2027-03-13,130588091017.20467,106938956141.13025,154237225893.27908
94,1268,2027-03-20,130289200224.3299,106496219258.96884,154082181189.69095
95,1269,2027-03-27,129379848794.1999,105443886184.59247,153315811403.80734
96,1270,2027-04-03,128631180430.57047,104553085221.87836,152709275639.26257
97,1271,2027-04-10,129014492233.22955,104795098522.62247,153233885943.83664
98,1272,2027-04-17,128671108845.84908,104311236216.04927,153030981475.64886
99,1273,2027-04-24,129269716561.6507,104770170497.06635,153769262626.23505
100,1274,2027-05-01,128736632792.95064,104098205079.29056,153375060506.61072
101,1275,2027-05-08,128379530267.74965,103602999375.9597,153156061159.5396
102,1276,2027-05-15,129806511624.79958,104892643080.10318,154720380169.49597
103,1277,2027-05-22,129311407012.83974,104260953749.61502,154361860276.06445
104,1278,2027-05-29,129281002232.96686,103944281650.21571,154617722815.71802
105,1279,2027-06-05,128807843618.14693,103278125133.65558,154337562102.63828
106,1280,2027-06-12,128971657841.41347,103263317795.11472,154679997887.71222
107,1281,2027-06-19,128436677194.55946,102544039461.66574,154329314927.4532
108,1282,2027-06-26,128127851215.51088,102045347186.77222,154210355244.24954
109,1283,2027-07-03,128307448141.59995,102033101538.65207,154581794744.54782
110,1284,2027-07-10,127724469478.69473,101264758072.66655,154184180884.7229
111,1285,2027-07-17,127927056585.72049,101283940639.5926,154570172531.8484
112,1286,2027-07-24,127905498556.10553,101079179368.09512,154731817744.11594
113,1287,2027-07-31,127282521241.81569,100273712406.6718,154291330076.95956
114,1288,2027-08-07,127784549217.09149,100594602709.19449,154974495724.9885
115,1289,2027-08-14,128366254807.59477,100996688660.52823,155735820954.66132
116,1290,2027-08-21,128844283070.31265,101296249929.90407,156392316210.72125
117,1291,2027-08-28,129898776368.4989,102173324899.28737,157624227837.71042
118,1292,2027-09-04,130214188348.54082,102312427128.55142,158115949568.5302
119,1293,2027-09-11,130667996991.09674,102591060555.3752,158744933426.8183
120,1294,2027-09-18,129459265236.69637,101208256416.05821,157710274057.3345
121,1295,2027-09-25,131362243045.14432,102938220692.17053,159786265398.1181
122,1296,2027-10-02,130149756217.73271,101553759954.95099,158745752480.51443
123,1297,2027-10-09,130121563570.49066,101354622194.34538,158888504946.63593
124,1298,2027-10-16,129835540402.14268,100898666377.41988,158772414426.8655
125,1299,2027-10-23,130344157114.81215,101238343044.4511,159449971185.17322
126,1300,2027-10-30,130260593337.01805,100986813305.10275,159534373368.93335
127,1301,2027-11-06,129886290259.2233,100445502166.22195,159327078352.22464
128,1302,2027-11-13,129873127972.521,100266274084.63794,159479981860.40405
129,1303,2027-11-20,129895766571.58119,100123773355.96219,159667759787.2002
130,1304,2027-11-27,129163254944.9131,99227033329.24165,159099476560.58456
131,1305,2027-12-04,129258448715.32347,99158894672.66661,159358002757.98032
132,1306,2027-12-11,128427695641.69307,98165690702.27072,158689700581.11542
133,1307,2027-12-18,129938543787.53491,99514955391.48651,160362132183.5833
134,1308,2027-12-25,133519835818.1441,102935517641.74084,164104153994.54736
