,회차,예측일,예측_총판매금액,신뢰구간_하한,신뢰구간_상한
48,1222,2026-05-02,121424463662.18768,106119785272.2308,136729142052.14456
49,1223,2026-05-09,119847124335.32326,104398686771.2132,135295561899.43332
50,1224,2026-05-16,122475633124.53673,106884761894.1411,138066504354.93237
51,1225,2026-05-23,122603386999.2824,106871371607.95552,138335402390.60925
52,1226,2026-05-30,122784353509.54073,106381521561.62212,139187185457.45932
53,1227,2026-06-06,120900789244.96901,104241834153.70084,137559744336.23718
54,1228,2026-06-13,120444298200.66222,103534754007.24007,137353842394.08437
55,1229,2026-06-20,118393420348.19894,101192105530.33861,135594735166.05928
56,1230,2026-06-27,119829164124.313,102300595762.26889,137357732486.35712
57,1231,2026-07-04,119499680898.50444,101697993388.1195,137301368408.88937
58,1232,2026-07-11,118759597144.52563,100685029208.54233,136834165080.50894
59,1233,2026-07-18,118526294042.50221,100172444993.51268,136880143091.49174
60,1234,2026-07-25,117896151428.37317,99266020698.97653,136526282157.7698
61,1235,2026-08-01,117041897959.6943,98145952688.5028,135937843230.8858
62,1236,2026-08-08,117985356787.78494,98825745641.7388,137144967933.83109
63,1237,2026-08-15,119543533451.45105,100122195571.49713,138964871331.40497
64,1238,2026-08-22,120062292376.02623,100383146569.52298,139741438182.52948
65,1239,2026-08-29,122023617831.75406,102090783197.4805,141956452466.02762
66,1240,2026-09-05,121609174973.53374,101425462052.03145,141792887895.036
67,1241,2026-09-12,125411140711.71222,104979431361.82306,145842850061.60138
68,1242,2026-09-19,118972172868.29414,98295579862.82907,139648765873.75922
69,1243,2026-09-26,126358974104.3019,105440442666.78394,147277505541.81985
70,1244,2026-10-03,123124290292.71286,101966512865.49507,144282067719.93066
71,1245,2026-10-10,123446149726.79514,102051785559.62962,144840513893.96063
72,1246,2026-10-17,122176404588.22963,100548069281.40536,143804739895.0539
73,1247,2026-10-24,124025723681.0776,102165925850.50002,145885521511.65518
74,1248,2026-10-31,123907044022.72458,101818196599.01689,145995891446.43228
75,1249,2026-11-07,122922088312.95464,100606542451.28027,145237634174.629
76,1250,2026-11-14,122910323497.30916,100370363650.20578,145450283344.41254
77,1251,2026-11-21,122716416819.03133,99954254879.4063,145478578758.65634
78,1252,2026-11-28,120679035468.89908,97696817889.51146,143661253048.2867
79,1253,2026-12-05,120658598286.87186,97458412691.42928,143858783882.31445
80,1254,2026-12-12,120889732360.58852,97473608225.62498,144305856495.55206
